Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-08-11 00:00:00.000000 ,2.85,3.5208,2.8433,3.2985,1552384.78,2020-08-11 23:59:59.999000 ,4939148.938107,13490,741770.79,2370192.681119,0
2020-08-12 00:00:00.000000 ,3.2985,3.9289,3.08,3.7558,1737042.95,2020-08-12 23:59:59.999000 ,6176153.724638,21118,889133.5,3161944.268817,0
2020-08-13 00:00:00.000000 ,3.75,4.1387,3.5003,3.73,1685759.24,2020-08-13 23:59:59.999000 ,6446567.98049,22922,716358.46,2755764.748006,0
2020-08-14 00:00:00.000000 ,3.7207,3.7676,3.321,3.4099,1474161.79,2020-08-14 23:59:59.999000 ,5205834.095977,18581,578651.84,2048896.655467,0
2020-08-15 00:00:00.000000 ,3.4181,3.74,3.15,3.173,1070233.2,2020-08-15 23:59:59.999000 ,3658005.622202,13903,439623.97,1510472.729568,0
2020-08-16 00:00:00.000000 ,3.173,3.4907,3.12,3.3885,668106.53,2020-08-16 23:59:59.999000 ,2227715.62781,10659,267439.48,896424.218505,0
2020-08-17 00:00:00.000000 ,3.3885,3.3952,3.1,3.11,729413.64,2020-08-17 23:59:59.999000 ,2355329.78763,8632,258191.89,833604.429817,0
2020-08-18 00:00:00.000000 ,3.11,3.7092,2.8105,3.3407,2713115.94,2020-08-18 23:59:59.999000 ,8885306.133224,27415,1276599.28,4211377.733932,0
2020-08-19 00:00:00.000000 ,3.334,3.49,2.8,2.8868,1433243.76,2020-08-19 23:59:59.999000 ,4380403.488824,17076,487245.28,1491949.575963,0
2020-08-20 00:00:00.000000 ,2.8962,3.445,2.8871,3.2038,1277827.32,2020-08-20 23:59:59.999000 ,4078240.331482,14169,654313.24,2100682.285326,0
2020-08-21 00:00:00.000000 ,3.2038,3.24,2.89,2.9317,1131895.9,2020-08-21 23:59:59.999000 ,3480342.67494,12957,435955.04,1340925.254726,0
2020-08-22 00:00:00.000000 ,2.9213,3.2,2.7431,3.0126,1169417.78,2020-08-22 23:59:59.999000 ,3433997.193736,10427,535610.79,1579335.779896,0
2020-08-23 00:00:00.000000 ,3.0224,3.4,3.0014,3.25,1198036.69,2020-08-23 23:59:59.999000 ,3846250.69637,11455,701976.44,2259165.675399,0
2020-08-24 00:00:00.000000 ,3.2658,3.62,3.21,3.3405,1315196.06,2020-08-24 23:59:59.999000 ,4504839.417218,15317,634212.19,2181573.743108,0
2020-08-25 00:00:00.000000 ,3.3406,3.3654,3.0001,3.25,1149187.37,2020-08-25 23:59:59.999000 ,3629890.757954,14226,477028.87,1506233.260046,0
2020-08-26 00:00:00.000000 ,3.2576,3.7999,3.1809,3.5684,2290030.56,2020-08-26 23:59:59.999000 ,8065581.239321,23980,1256407.83,4427331.468248,0
2020-08-27 00:00:00.000000 ,3.5557,3.8575,3.2434,3.4501,2412974.8,2020-08-27 23:59:59.999000 ,8578461.964527,25784,1158014.83,4141258.621262,0
2020-08-28 00:00:00.000000 ,3.4503,4.3091,3.4503,4.0063,2581936.84,2020-08-28 23:59:59.999000 ,10089370.365356,30430,1416811.61,5532658.687141,0
2020-08-29 00:00:00.000000 ,4.007,4.1121,3.7748,3.9535,1342844.2,2020-08-29 23:59:59.999000 ,5290923.089625,19319,589471.19,2328966.080747,0
2020-08-30 00:00:00.000000 ,3.9531,4.7117,3.9,4.4309,1815681.99,2020-08-30 23:59:59.999000 ,7967065.168313,26712,864714.97,3787277.378479,0
2020-08-31 00:00:00.000000 ,4.4127,4.8865,4.1,4.7435,1497129.12,2020-08-31 23:59:59.999000 ,6664671.747242,23396,829785.03,3715511.862808,0
2020-09-01 00:00:00.000000 ,4.7432,4.9475,4.3,4.3397,1267574.76,2020-09-01 23:59:59.999000 ,5871722.637441,20174,626210.98,2914616.459194,0
2020-09-02 00:00:00.000000 ,4.3213,4.3506,3.66,4.17,2002058.36,2020-09-02 23:59:59.999000 ,8136932.352629,25545,872236.99,3553812.071207,0
2020-09-03 00:00:00.000000 ,4.17,4.459,3.4772,3.5051,3275612.26,2020-09-03 23:59:59.999000 ,12941589.824478,37166,1415415.57,5628686.608088,0
2020-09-04 00:00:00.000000 ,3.5062,3.8346,3.1739,3.5301,2052197.24,2020-09-04 23:59:59.999000 ,7262296.371156,23918,892868.07,3167604.520482,0
2020-09-05 00:00:00.000000 ,3.5301,3.6637,2.0926,2.6052,4426267.38,2020-09-05 23:59:59.999000 ,11872722.479966,36221,1667142.8,4417379.508314,0
2020-09-06 00:00:00.000000 ,2.6119,3.18,2.2575,3.0941,2898758.91,2020-09-06 23:59:59.999000 ,7940868.463262,24763,1441533.05,3961686.65227,0
2020-09-07 00:00:00.000000 ,3.0785,3.1983,2.38,2.9237,2680083.17,2020-09-07 23:59:59.999000 ,7269853.908694,20763,1237117.42,3357706.94438,0
2020-09-08 00:00:00.000000 ,2.9237,2.9499,2.4,2.468,1626389.7,2020-09-08 23:59:59.999000 ,4163484.174943,17527,594993.2,1526237.016922,0
2020-09-09 00:00:00.000000 ,2.468,3.8838,2.3821,3.6001,6691121.99,2020-09-09 23:59:59.999000 ,22147440.589737,54509,3343480.12,11062516.969111,0
2020-09-10 00:00:00.000000 ,3.6107,3.875,3.304,3.4761,4356890.66,2020-09-10 23:59:59.999000 ,15482088.381925,47297,2075976.54,7395169.700589,0
2020-09-11 00:00:00.000000 ,3.4707,3.5036,3.0316,3.3965,2227636.94,2020-09-11 23:59:59.999000 ,7208721.224244,23696,905328.95,2940779.297983,0
2020-09-12 00:00:00.000000 ,3.3967,3.47,3.1494,3.3316,1161542.47,2020-09-12 23:59:59.999000 ,3845112.025727,14476,555663.3,1842564.180668,0
2020-09-13 00:00:00.000000 ,3.3386,3.47,2.9838,3.2603,2024779.41,2020-09-13 23:59:59.999000 ,6528375.660923,27152,871294.02,2819238.849317,0
2020-09-14 00:00:00.000000 ,3.2656,3.5393,3.0752,3.2641,3351649.61,2020-09-14 23:59:59.999000 ,11170955.417119,53540,1671479.97,5589901.330571,0
2020-09-15 00:00:00.000000 ,3.264,3.3249,2.8955,2.9295,1698391.09,2020-09-15 23:59:59.999000 ,5332430.834567,28139,671971.67,2114488.256676,0
2020-09-16 00:00:00.000000 ,2.9288,2.9293,2.4282,2.5327,4886766.99,2020-09-16 23:59:59.999000 ,12739762.363066,52638,1895992.58,4948031.680855,0
2020-09-17 00:00:00.000000 ,2.5376,2.9389,2.36,2.8829,4635747.31,2020-09-17 23:59:59.999000 ,12078123.514301,50561,2337316.53,6112225.624238,0
2020-09-18 00:00:00.000000 ,2.883,3.16,2.726,3.1144,4169446.23,2020-09-18 23:59:59.999000 ,12294993.323244,49597,2127089.2,6283795.836967,0
2020-09-19 00:00:00.000000 ,3.1084,3.2545,2.9564,3.031,1586219.86,2020-09-19 23:59:59.999000 ,4884899.265676,23707,799968.39,2467075.797405,0
2020-09-20 00:00:00.000000 ,3.0216,3.0319,2.7,2.8628,1456628.58,2020-09-20 23:59:59.999000 ,4183733.720404,19133,620427.02,1786109.987793,0
2020-09-21 00:00:00.000000 ,2.8628,3.0397,2.4689,2.7672,3567879.31,2020-09-21 23:59:59.999000 ,9634412.017789,45379,1721714.67,4642466.955583,0
2020-09-22 00:00:00.000000 ,2.7571,3.0107,2.65,2.9082,3416786.33,2020-09-22 23:59:59.999000 ,9798314.273441,46943,1734855.56,4980218.648734,0
2020-09-23 00:00:00.000000 ,2.9184,3.09,2.7001,2.8548,2762150.96,2020-09-23 23:59:59.999000 ,7980465.497946,34471,1405077.92,4075042.888492,0
2020-09-24 00:00:00.000000 ,2.855,3.2571,2.7804,3.1433,2983701.04,2020-09-24 23:59:59.999000 ,9088676.27259,37434,1621531.93,4936106.601272,0
2020-09-25 00:00:00.000000 ,3.1409,3.2766,2.9003,3.1937,2447843.22,2020-09-25 23:59:59.999000 ,7516842.110046,30447,1162454.55,3567954.000704,0
2020-09-26 00:00:00.000000 ,3.185,3.25,3.03,3.1287,1357018.72,2020-09-26 23:59:59.999000 ,4232119.885692,19471,645639.17,2016567.269921,0
2020-09-27 00:00:00.000000 ,3.1292,3.1857,2.9819,3.1578,983815.86,2020-09-27 23:59:59.999000 ,3052809.12141,13547,495458.24,1540901.263297,0
2020-09-28 00:00:00.000000 ,3.1557,3.2109,2.908,2.9599,1306134.15,2020-09-28 23:59:59.999000 ,3987560.497313,17608,494804.02,1516284.666516,0
2020-09-29 00:00:00.000000 ,2.9549,3.027,2.8735,2.9505,950875.56,2020-09-29 23:59:59.999000 ,2801168.419802,12547,438369.42,1290439.847228,0
2020-09-30 00:00:00.000000 ,2.9447,2.9838,2.8228,2.8967,722757.83,2020-09-30 23:59:59.999000 ,2099223.900761,9631,313432.53,911664.633051,0
2020-10-01 00:00:00.000000 ,2.8967,2.9889,2.65,2.8669,1373061.59,2020-10-01 23:59:59.999000 ,3893342.82485,16798,595327.14,1692229.474861,0
2020-10-02 00:00:00.000000 ,2.8667,2.8873,2.42,2.6232,2788493.11,2020-10-02 23:59:59.999000 ,7275003.798862,26532,1307596.33,3422122.456032,0
2020-10-03 00:00:00.000000 ,2.6231,2.6708,2.5356,2.5439,547025.23,2020-10-03 23:59:59.999000 ,1435302.238821,6342,251124.92,659738.455675,0
2020-10-04 00:00:00.000000 ,2.542,2.5898,2.42,2.5202,765399.21,2020-10-04 23:59:59.999000 ,1911132.616223,8690,330605.85,826124.522533,0
2020-10-05 00:00:00.000000 ,2.5181,2.683,2.4561,2.6522,912587.17,2020-10-05 23:59:59.999000 ,2349406.462249,10397,490424.25,1260469.596402,0
2020-10-06 00:00:00.000000 ,2.6486,2.6604,2.13,2.174,1784025.33,2020-10-06 23:59:59.999000 ,4217794.484588,15210,780760.97,1849835.0088,0
2020-10-07 00:00:00.000000 ,2.1721,2.4083,2.081,2.3005,2087951.2,2020-10-07 23:59:59.999000 ,4681013.952151,14780,955202.82,2146601.93211,0
2020-10-08 00:00:00.000000 ,2.3001,2.4569,2.0123,2.3638,2759189.94,2020-10-08 23:59:59.999000 ,6159554.618655,22492,1422001.18,3185687.421394,0
2020-10-09 00:00:00.000000 ,2.3686,2.63,2.303,2.5314,1878523.79,2020-10-09 23:59:59.999000 ,4668501.519986,19298,931717.29,2313924.547195,0
2020-10-10 00:00:00.000000 ,2.5274,2.6056,2.3873,2.3999,1278940.27,2020-10-10 23:59:59.999000 ,3208987.720961,13855,539604.44,1353174.462273,0
2020-10-11 00:00:00.000000 ,2.3988,2.4607,2.3401,2.4227,898764.08,2020-10-11 23:59:59.999000 ,2160332.631941,9182,421043.55,1012506.150964,0
2020-10-12 00:00:00.000000 ,2.4228,2.7044,2.4132,2.5836,2155387.01,2020-10-12 23:59:59.999000 ,5542124.89453,20035,1220066.62,3135514.502161,0
2020-10-13 00:00:00.000000 ,2.5826,2.5867,2.336,2.4062,1951031.1,2020-10-13 23:59:59.999000 ,4782866.497653,19501,838059.6,2057570.901357,0
2020-10-14 00:00:00.000000 ,2.4061,2.4424,2.2331,2.3107,1125385.85,2020-10-14 23:59:59.999000 ,2631151.893218,11891,470550.03,1104041.844619,0
2020-10-15 00:00:00.000000 ,2.3108,2.3485,2.1932,2.2682,754909.09,2020-10-15 23:59:59.999000 ,1711559.856295,8038,291515.98,662245.7327,0
2020-10-16 00:00:00.000000 ,2.2648,2.269,2.1071,2.1398,1546650.13,2020-10-16 23:59:59.999000 ,3372968.587202,16129,692466.44,1512297.369174,0
2020-10-17 00:00:00.000000 ,2.1374,2.2462,2.1107,2.2053,482249.55,2020-10-17 23:59:59.999000 ,1058101.061082,5450,229039.3,502570.10981,0
2020-10-18 00:00:00.000000 ,2.2031,2.2595,2.1763,2.215,478921.26,2020-10-18 23:59:59.999000 ,1061887.097601,5044,200173.53,444254.854534,0
2020-10-19 00:00:00.000000 ,2.2137,2.2148,2.05,2.0592,909217.19,2020-10-19 23:59:59.999000 ,1903930.178309,9244,427766.85,895784.977168,0
2020-10-20 00:00:00.000000 ,2.0552,2.108,1.8401,1.885,1933167.04,2020-10-20 23:59:59.999000 ,3745710.468754,17172,846647.34,1640259.749337,0
2020-10-21 00:00:00.000000 ,1.8873,2.11,1.8415,1.8887,3222724.75,2020-10-21 23:59:59.999000 ,6268421.040971,27731,1534139.25,2986840.053385,0
2020-10-22 00:00:00.000000 ,1.8868,2.09,1.8481,1.9582,1624778.09,2020-10-22 23:59:59.999000 ,3222019.146192,15518,811626.95,1611410.692047,0
2020-10-23 00:00:00.000000 ,1.9566,1.9902,1.85,1.959,1559992.35,2020-10-23 23:59:59.999000 ,3003774.15618,14300,798355.5,1541482.26762,0
2020-10-24 00:00:00.000000 ,1.9652,1.973,1.88,1.9142,748093.83,2020-10-24 23:59:59.999000 ,1442961.135641,7136,330710.09,638792.310095,0
2020-10-25 00:00:00.000000 ,1.9175,1.9244,1.76,1.7926,1365865.99,2020-10-25 23:59:59.999000 ,2529847.695912,12507,529076.39,979735.830227,0
2020-10-26 00:00:00.000000 ,1.7925,1.8685,1.6121,1.6799,2021871.84,2020-10-26 23:59:59.999000 ,3511995.568414,18268,931978.07,1626153.785011,0
2020-10-27 00:00:00.000000 ,1.6771,1.75,1.5906,1.711,2591150.26,2020-10-27 23:59:59.999000 ,4356307.68907,18450,1218749.23,2052575.269742,0
2020-10-28 00:00:00.000000 ,1.7084,1.7255,1.4508,1.518,3354618.28,2020-10-28 23:59:59.999000 ,5216558.27784,24005,1470357.41,2286343.751064,0
2020-10-29 00:00:00.000000 ,1.5166,1.5754,1.4148,1.4327,1233628.05,2020-10-29 23:59:59.999000 ,1842933.592142,9134,576748.09,863067.540262,0
2020-10-30 00:00:00.000000 ,1.4328,1.4726,1.3163,1.4381,1401628.09,2020-10-30 23:59:59.999000 ,1968214.125436,9225,613805.85,862774.013682,0
2020-10-31 00:00:00.000000 ,1.4383,1.558,1.4266,1.5497,851989.58,2020-10-31 23:59:59.999000 ,1279143.701258,8029,424555.62,638420.705702,0
2020-11-01 00:00:00.000000 ,1.5497,1.6463,1.5137,1.608,960664.24,2020-11-01 23:59:59.999000 ,1513803.241013,6949,487341.32,768604.503515,0
2020-11-02 00:00:00.000000 ,1.6076,1.6432,1.4621,1.4738,867738.07,2020-11-02 23:59:59.999000 ,1329879.298246,5291,404404.21,620514.899573,0
2020-11-03 00:00:00.000000 ,1.4729,1.484,1.4062,1.4118,983164.88,2020-11-03 23:59:59.999000 ,1417472.23241,6306,408887.8,590290.062422,0
2020-11-04 00:00:00.000000 ,1.4123,1.4144,1.2733,1.3912,2560523.86,2020-11-04 23:59:59.999000 ,3469939.628607,12910,1263594.11,1712213.135554,0
2020-11-05 00:00:00.000000 ,1.3895,1.4928,1.3,1.4007,1598492.56,2020-11-05 23:59:59.999000 ,2248173.921394,10773,778161.42,1095817.737605,0
